C8C0  D0 09     BNE $C8CB                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8C2  50 07     BVC $C8CB                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8C4  B0 05     BCS $C8CB                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8C6  30 03     BMI $C8CB                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8C8  4C CF C8  JMP $C8CF                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8CF  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8D0  38        SEC                             A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C8D1  B8        CLV                             A:00 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8D2  A9 F8     LDA #$F8                        A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8D4  29 EF     AND #$EF                        A:F8 X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C8D6  90 0B     BCC $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C8D8  10 09     BPL $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C8DA  C9 E8     CMP #$E8                        A:E8 X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C8DC  D0 05     BNE $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8DE  70 03     BVS $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8E0  4C E7 C8  JMP $C8E7                       A:E8 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8E7  EA        NOP                             A:E8 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8E8  18        CLC                             A:E8 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8E9  24 01     BIT $01 = FF                    A:E8 X:00 Y:00 P:2E SP:FB STACK: 00 00 C6 05
C8EB  A9 5F     LDA #$5F                        A:E8 X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C8ED  49 AA     EOR #$AA                        A:5F X:00 Y:00 P:6C SP:FB STACK: 00 00 C6 05
C8EF  B0 0B     BCS $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C8F1  10 09     BPL $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C8F3  C9 F5     CMP #$F5                        A:F5 X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C8F5  D0 05     BNE $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8F7  50 03     BVC $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8F9  4C 00 C9  JMP $C900                       A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C900  EA        NOP                             A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C901  38        SEC                             A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C902  B8        CLV                             A:F5 X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C903  A9 70     LDA #$70                        A:F5 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C905  49 70     EOR #$70                        A:70 X:00 Y:00 P:2D SP:FB STACK: 00 00 C6 05
C907  D0 09     BNE $C912                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C909  70 07     BVS $C912                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C90B  90 05     BCC $C912                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C90D  30 03     BMI $C912                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C90F  4C 16 C9  JMP $C916                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C916  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C917  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C918  24 01     BIT $01 = FF                    A:00 X:00 Y:00 P:2E SP:FB STACK: 00 00 C6 05
C91A  A9 00     LDA #$00                        A:00 X:00 Y:00 P:EE SP:FB STACK: 00 00 C6 05
C91C  69 69     ADC #$69                        A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 05
C91E  30 0B     BMI $C92B                       A:69 X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C920  B0 09     BCS $C92B                       A:69 X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C922  C9 69     CMP #$69                        A:69 X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C924  D0 05     BNE $C92B                       A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C926  70 03     BVS $C92B                       A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C928  4C 2F C9  JMP $C92F                       A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C92F  EA        NOP                             A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C930  38        SEC                             A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C931  F8        SED                             A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C932  24 01     BIT $01 = FF                    A:69 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C934  A9 01     LDA #$01                        A:69 X:00 Y:00 P:ED SP:FB STACK: 00 00 C6 05
C936  69 69     ADC #$69                        A:01 X:00 Y:00 P:6D SP:FB STACK: 00 00 C6 05
C938  30 0B     BMI $C945                       A:6B X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C93A  B0 09     BCS $C945                       A:6B X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C93C  C9 6B     CMP #$6B                        A:6B X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 05
C93E  D0 05     BNE $C945                       A:6B X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C940  70 03     BVS $C945                       A:6B X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C942  4C 49 C9  JMP $C949                       A:6B X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C949  EA        NOP                             A:6B X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C94A  D8        CLD                             A:6B X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C94B  38        SEC                             A:6B X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C94C  B8        CLV                             A:6B X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C94D  A9 7F     LDA #$7F                        A:6B X:00 Y:00 P:27 SP:FB STACK: 00 00 C6 05
C94F  69 7F     ADC #$7F                        A:7F X:00 Y:00 P:25 SP:FB STACK: 00 00 C6 05
C951  10 0B     BPL $C95E                       A:FF X:00 Y:00 P:E4 SP:FB STACK: 00 00 C6 05
C953  B0 09     BCS $C95E                       A:FF X:00 Y:00 P:E4 SP:FB STACK: 00 00 C6 05
C955  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:E4 SP:FB STACK: 00 00 C6 05
C957  D0 05     BNE $C95E                       A:FF X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 05
C959  50 03     BVC $C95E                       A:FF X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 05
C95B  4C 62 C9  JMP $C962                       A:FF X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 05
C962  EA        NOP                             A:FF X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 05
C963  18        CLC                             A:FF X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 05
