90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E9 P:A5 SP:FD CYCLES: 505 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E9 P:A4 SP:FD CYCLES: 507 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E9 P:A4 SP:FD CYCLES: 510 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E9 P:25 SP:FD CYCLES: 512 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E9 = 00  A:00 X:07 Y:E9 P:25 SP:FD CYCLES: 515 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E9 P:25 SP:FD CYCLES: 521 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E8 P:A5 SP:FD CYCLES: 523 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E8 P:A4 SP:FD CYCLES: 525 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E8 P:A4 SP:FD CYCLES: 528 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E8 P:25 SP:FD CYCLES: 530 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E8 = 00  A:00 X:07 Y:E8 P:25 SP:FD CYCLES: 533 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E8 P:25 SP:FD CYCLES: 539 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E7 P:A5 SP:FD CYCLES: 541 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E7 P:A4 SP:FD CYCLES: 543 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E7 P:A4 SP:FD CYCLES: 546 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E7 P:25 SP:FD CYCLES: 548 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E7 = 00  A:00 X:07 Y:E7 P:25 SP:FD CYCLES: 551 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E7 P:25 SP:FD CYCLES: 557 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E6 P:A5 SP:FD CYCLES: 559 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E6 P:A4 SP:FD CYCLES: 561 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E6 P:A4 SP:FD CYCLES: 564 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E6 P:25 SP:FD CYCLES: 566 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E6 = 00  A:00 X:07 Y:E6 P:25 SP:FD CYCLES: 569 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E6 P:25 SP:FD CYCLES: 575 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E5 P:A5 SP:FD CYCLES: 577 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E5 P:A4 SP:FD CYCLES: 579 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E5 P:A4 SP:FD CYCLES: 582 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E5 P:25 SP:FD CYCLES: 584 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E5 = 00  A:00 X:07 Y:E5 P:25 SP:FD CYCLES: 587 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E5 P:25 SP:FD CYCLES: 593 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E4 P:A5 SP:FD CYCLES: 595 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E4 P:A4 SP:FD CYCLES: 597 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E4 P:A4 SP:FD CYCLES: 600 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E4 P:25 SP:FD CYCLES: 602 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E4 = 00  A:00 X:07 Y:E4 P:25 SP:FD CYCLES: 605 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E4 P:25 SP:FD CYCLES: 611 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E3 P:A5 SP:FD CYCLES: 613 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E3 P:A4 SP:FD CYCLES: 615 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E3 P:A4 SP:FD CYCLES: 618 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E3 P:25 SP:FD CYCLES: 620 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E3 = 00  A:00 X:07 Y:E3 P:25 SP:FD CYCLES: 623 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E3 P:25 SP:FD CYCLES: 629 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E2 P:A5 SP:FD CYCLES: 631 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E2 P:A4 SP:FD CYCLES: 633 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E2 P:A4 SP:FD CYCLES: 636 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E2 P:25 SP:FD CYCLES: 638 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E2 = 00  A:00 X:07 Y:E2 P:25 SP:FD CYCLES: 641 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E2 P:25 SP:FD CYCLES: 647 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E1 P:A5 SP:FD CYCLES: 649 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E1 P:A4 SP:FD CYCLES: 651 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:E1 P:A4 SP:FD CYCLES: 654 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:E1 P:25 SP:FD CYCLES: 656 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07E1 = 00  A:00 X:07 Y:E1 P:25 SP:FD CYCLES: 659 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:E1 P:25 SP:FD CYCLES: 665 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:E0 P:A5 SP:FD CYCLES: 667 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:E0 P:A4 SP:FD CYCLES: 669 STACK: 80 2D
